Player,Pos,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS,Salary
Glenn Robinson III,SF,23,1,14.7,1.6,0.7,0.6,0,0.2,4.1,1524305
Rajon Rondo,PG,65,63,26.2,4,8.2,1.1,0.2,2.3,8.3,6300000
Derrick Rose,PG,25,7,16.8,1.4,1.5,0.3,0.2,1.4,8.4,2533488
Terrence Ross,SG,24,20,25,3,1.6,1.1,0.5,1.2,8.7,10500000
Terry Rozier,PG,80,16,25.9,4.7,2.9,1,0.2,1,11.3,1988520
Ricky Rubio,PG,77,77,29.3,4.6,5.3,1.6,0.1,2.7,13.1,14100000
D'Angelo Russell,PG,48,35,25.7,3.9,5.2,0.8,0.4,3.1,15.5,5562360
Domantas Sabonis,C,74,19,24.5,7.7,2,0.5,0.4,1.9,11.6,2550000
JaKarr Sampson,SF,22,6,15.6,3.5,0.4,0.4,1,0.4,4.7,77250
Mike Scott,PF,76,1,18.5,3.3,1.1,0.3,0.1,1,8.8,1709538
Thabo Sefolosha,SF,38,6,21.2,4.2,0.9,1.4,0.3,0.8,8.2,5250000
Wayne Selden,SG,35,9,19.8,1.6,1.9,0.5,0.1,1.5,9.3,1312611
Ramon Sessions,PG,28,3,14,1.4,2.8,0.5,0.1,1.1,4.9,2986463
Iman Shumpert,SG,14,6,19.7,2.9,1.2,0.6,0.3,1.1,4.4,10337079
Pascal Siakam,PF,81,5,20.7,4.5,2,0.8,0.5,0.8,7.3,1312611
Xavier Silas,SG,2,0,3.5,1,0,0.5,0,0,0,74158
Ben Simmons,PG,81,81,33.7,8.1,8.2,1.7,0.9,3.4,15.8,6168840
Jonathon Simmons,SG,69,50,29.4,3.5,2.5,0.8,0.2,2.1,13.9,6300000
Kobi Simmons,PG,32,12,20.1,1.6,2.1,0.6,0.2,1.4,6.1,77250
Kyle Singler,SF,12,0,4.9,0.8,0.2,0.1,0,0.3,1.9,4666500
Marcus Smart,SG,54,11,29.9,3.5,4.8,1.3,0.4,2.4,10.2,4538019
Jason Smith,C,33,2,8.6,1.6,0.4,0.1,0.4,0.5,3.4,5225000
Josh Smith,PF,3,0,4,1.3,0,0,0,0,0.7,5514806
Tony Snell,SG,75,59,27.4,1.9,1.3,0.6,0.4,0.5,6.9,9821429
Marreese Speights,C,52,3,13,2.6,0.8,0.2,0.4,0.8,7.7,2116955
Nik Stauskas,SG,41,0,12.8,1.6,1,0.2,0.1,0.6,4.4,3807146
Lance Stephenson,SG,82,7,22.6,5.2,2.9,0.6,0.2,1.6,9.2,4180000
David Stockton,PG,3,0,3,0,0,0,0,0.3,3.3,192812
Julyan Stone,SG,23,0,7.6,1.3,1.1,0.2,0.1,0.3,0.8,1524305
Edmond Sumner,PG,1,0,2,1,0,0,0,0,2,77250
Caleb Swanigan,PF,27,3,7,2,0.5,0.2,0.1,0.7,2.3,1465920
Jayson Tatum,SF,80,80,30.5,5,1.6,1,0.7,1.4,13.9,5645400
Isaiah Taylor,PG,67,9,17.4,1.4,3.1,0.5,0.1,1.3,6.6,1312611
Jeff Teague,PG,70,70,33,3,7,1.5,0.3,2.5,14.2,19000000
Marquis Teague,PG,3,0,24.7,2,4.3,1.3,0,1,3.7,157944
Garrett Temple,SG,65,35,24.8,2.3,1.9,0.9,0.4,1.2,8.4,8000000
Jason Terry,SG,51,4,16,0.9,1.2,0.8,0.3,0.5,3.3,2328652
Daniel Theis,C,63,3,14.9,4.3,0.9,0.5,0.8,0.9,5.3,815615
Isaiah Thomas,PG,32,15,26.9,2.1,4.8,0.5,0.1,3,15.2,6261394
Lance Thomas,PF,73,31,18.5,2.4,0.6,0.4,0.2,0.5,4.1,6655325
Klay Thompson,SG,73,73,34.3,3.8,2.5,0.8,0.5,1.8,20,17826150
