Player,Pos,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS,Salary
Thon Maker,C,8,0,9.5,2.3,0.5,0.3,0.5,0.4,3.8,"309,355"
Tim Hardaway Jr.,SG,70,31,28.4,3.3,1.8,0.4,0.2,0.9,16.6,"18,975,000"
Timothé Luwawu-Cabarrot,SF,58,7,18.1,2.2,1.2,0.6,0.1,0.7,6.4,"1,824,003"
Tobias Harris,PF,62,62,32.5,6.8,3.5,0.9,0.8,1.7,19.5,"33,517,241"
Tomáš Satoranský,SG,58,18,22.5,2.4,4.7,0.7,0.2,1.7,7.7,"10,000,000"
Tony Bradley,C,42,8,16.3,5.7,0.9,0.4,0.7,0.8,7.1,"3,542,060"
Tony Snell,SG,47,23,21.1,2.4,1.3,0.3,0.2,0.4,5.3,"12,178,571"
Torrey Craig,SF,50,8,16.1,3.9,1,0.6,0.5,0.5,5.5,"1,678,854"
Trae Young,PG,63,63,33.7,3.9,9.4,0.8,0.2,4.1,25.3,"6,571,800"
Tre Jones,PG,37,1,7.3,0.6,1.1,0.2,0,0.4,2.5,"898,310"
Trevor Ariza,SF,30,27,28,4.8,1.8,1,0.6,0.7,9.4,"12,800,000"
Trey Burke,PG,62,1,14.7,0.9,1.3,0.6,0.1,0.5,6.6,"3,174,603"
Trey Lyles,PF,23,9,15.6,3.7,0.6,0.3,0,0.3,5,"5,500,000"
Tristan Thompson,PF,54,43,23.8,8.1,1.2,0.4,0.6,1.1,7.6,"9,258,000"
Troy Brown Jr.,SF,34,0,15.4,3.1,0.9,0.3,0.2,0.6,4.7,"3,372,840"
Ty Jerome,SG,33,1,23.9,2.8,3.6,0.6,0.2,1.4,10.7,"2,303,040"
Tyler Herro,SG,54,15,30.3,5,3.4,0.6,0.3,1.9,15.1,"3,822,240"
Tyler Johnson,SG,39,3,17.5,2,1.2,0.4,0,0.4,5.4,"2,028,594"
Tyrell Terry,PG,11,0,5.1,0.5,0.5,0.5,0,0.2,1,"1,289,846"
Tyrese Haliburton,PG,58,20,30.1,3,5.3,1.3,0.5,1.6,13,"3,831,840"
Tyrese Maxey,SG,61,8,15.3,1.7,2,0.4,0.2,0.7,8,"2,478,840"
Tyus Jones,PG,70,9,17.5,2,3.7,0.9,0.1,0.7,6.3,"7,965,100"
Udoka Azubuike,C,15,0,3.8,0.9,0,0.1,0.3,0.2,1.1,"1,977,000"
Udonis Haslem,C,1,0,3,1,0,0,0,0,4,"2,564,753"
Vernon Carey Jr.,C,19,4,6.1,1.4,0.1,0.1,0.3,0.3,2.4,"1,350,000"
Victor Oladipo,SG,33,33,32.7,4.8,4.6,1.4,0.4,2.5,19.8,"21,000,000"
Vincent Poirier,C,10,0,3.9,1.4,0.2,0,0.3,0.4,0.8,"2,619,207"
Vlatko Čančar,PF,41,1,6.9,1.2,0.3,0.3,0,0.3,2.1,"898,310"
Wayne Ellington,SG,46,31,22,1.8,1.5,0.4,0.2,0.7,9.6,"3,005,225"
